Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C16, C17, C18, C19, C9",0603,7,1u,C15849
"C11, C22, C5, C7",0603,4,100n,C14663
"C12, C13",0402,2,8p,C32949
"C14, C15",0603,2,47p,C1671
"C2, C6, C8",0603,3,10u/25V,C96446
D1,0603,1,D_Schottky,
"D10, D19",D_SMA,2,SSA33L,C435944
"D11, D12, D8",0603,3,LED_grn,C2289
D13,0603,1,Hbt(grn),C2289
D14,0603,1,INF(ylw),C2287
D15,0603,1,ACK(blu),C2288
D16,0603,1,LED(grn),C2289
"D17, D18",0603,2,LED_red,C125099
D2,0603,1,D_Schottky,C143804
"D3, D4",SOT-323_SC-70,2,BAT54S,C78606
D5,SOT-323_SC-70,1,BAT54A,C78261
J1,USB_Micro-B_Reichelt_BWM_SMD,1,USB_B_Mini,C2688795
"J10, J7, J8, J9",MountingHole_3.2mm_M3_Pad,4,Conn_01x01,
J11,PinHeader_2x03_P2.54mm_Vertical,1,ISP,
J12,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02,
J2,PinHeader_1x10_P2.54mm_Vertical,1,Conn_01x10_Male,
J3,PinHeader_1x06_P2.54mm_Vertical,1,Conn_01x06_Male,
"J4, J5",PinHeader_1x08_P2.54mm_Vertical,2,Conn_01x08_Male,
J6,TerminalBlock_RND_205-00003_1x04_P5.00mm_Horizontal,1,Screw_Terminal_01x04,
L1,0805,1,Ferrite_Bead,C1017
R1,0805,1,220,C17557
"R10, R12, R33, R7",0603,4,100k,C25803
"R11, R9",0603,2,33k,C4216
R13,0603,1,220k,C22961
"R14, R32",0603,2,10k,C25804
"R15, R22, R23, R24, R25, R26, R28, R29, R30, R31",0603,10,4.7k,C23162
"R16, R20",0603,2,27,C23345
R19,0603,1,3.3k,C22978
R21,0603,1,10,C22859
"R4, R5, R6, R8",0603,4,1k,C21190
RN1,R_Array_Concave_4x0603,1,4.7k,C66697
U1,QFN-32-1EP_5x5mm_P0.5mm_EP3.1x3.1mm,1,ATmega328PB-MU,C967933
U2,DCDC-Conv_muRata_NMAxxxxSC,1,NME0505SC,
U3,SOT-23-5,1,MIC5235-5.0,C7202996
U4,DFN-8_2x2mm_P0.5mm,1,LM393,C2970927
U6,QFN-16-1EP_4x4mm_P0.65mm_EP2.5x2.5mm,1,FT230XQ,C3216402
U7,SSOP-16_3.9x4.9mm_P0.635mm,1,ISO7742,C5216468
Y1,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,"16Mhz, 6pF",C1986052
