Designator,Mid X,Mid Y,Rotation,Layer
C1,96.724,-43.707,90.0,top
C10,70.5866,-36.068,90.0,top
C11,63.3984,-44.4754,180.0,top
C12,75.4126,-43.6626,180.0,top
C13,75.4126,-42.0116,180.0,top
C14,55.5244,-41.2496,180.0,top
C15,55.51424,-36.82492,180.0,top
C16,63.3984,-42.97172,0.0,top
C17,73.0758,-44.9834,0.0,top
C18,87.1982,-35.687,180.0,top
C19,96.393,-36.4236,90.0,top
C2,99.344,-40.417,90.0,top
C22,59.4614,-43.0276,90.0,top
C5,55.499,-44.2976,0.0,top
C6,59.4614,-45.9994,90.0,top
C7,55.5244,-42.799,0.0,top
C8,57.9374,-50.1142,270.0,top
C9,60.03036,-35.53968,0.0,top
D1,96.5708,-46.736,270.0,top
D10,107.094,-44.827,270.0,top
D11,47.724,-32.287,270.0,top
D12,49.1744,-32.2936,270.0,top
D13,54.634,-32.267,90.0,top
D14,56.1086,-32.2682,90.0,top
D15,57.574,-32.2682,90.0,top
D16,63.3983,-47.4472,0.0,top
D17,52.144,-32.297,90.0,top
D18,50.654,-32.297,90.0,top
D19,107.094,-37.777,270.0,top
D2,101.444,-40.407,270.0,top
D3,85.9028,-46.517,270.0,top
D4,88.544,-46.517,270.0,top
D5,87.249,-43.4594,180.0,top
D8,46.264,-32.2895,90.0,top
J1,49.657,-39.5834,270.0,top
J11,75.946,-37.6428,270.0,top
J12,83.5914,-37.6428,0.0,top
J2,72.263,-50.2006,270.0,top
J3,95.123,-50.2158,270.0,top
J4,92.5322,-32.4206,270.0,top
J5,69.6214,-32.4206,270.0,top
J6,114.9096,-41.3074,270.0,top
L1,57.8612,-43.2816,90.0,top
R1,57.944,-50.117,90.0,bottom
R10,82.3468,-43.7388,90.0,top
R11,79.4004,-46.7106,90.0,top
R12,79.4004,-43.7388,90.0,top
R13,80.8736,-46.7106,90.0,top
R14,80.8736,-43.7388,90.0,top
R15,46.244,-32.30372,90.0,bottom
R16,55.5244,-39.7764,180.0,top
R19,83.8454,-43.7388,270.0,top
R20,55.5244,-38.3032,180.0,top
R21,104.514,-41.267,90.0,top
R22,47.714,-32.30372,270.0,bottom
R23,49.174,-32.30372,270.0,bottom
R24,54.624,-32.26308,270.0,bottom
R25,56.0832,-32.2682,270.0,bottom
R26,57.534,-32.267,270.0,bottom
R28,63.3984,-45.974,0.0,top
R29,52.114,-32.297,270.0,bottom
R30,50.644,-32.297,270.0,bottom
R31,81.0514,-39.243,90.0,top
R32,82.3468,-46.7106,90.0,top
R33,90.484,-43.727,270.0,top
R4,93.599,-46.7106,90.0,top
R5,95.0976,-46.7208,90.0,top
R6,92.1004,-46.7106,90.0,top
R7,95.244,-43.707,270.0,top
R8,90.6272,-46.7106,90.0,top
R9,83.8454,-46.7106,90.0,top
RN1,92.1766,-37.8206,90.0,bottom
U1,68.05168,-44.51096,270.0,top
U2,50.673,-50.5206,270.0,top
U3,100.4062,-36.8681,270.0,top
U4,92.8624,-43.8658,270.0,top
U6,59.7154,-38.923,0.0,top
U7,66.1162,-37.8054,270.0,top
Y1,72.99452,-42.83456,0.0,top
